,월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상),,,,,,,,,,,,,,,,,,,,,
,,07일,4451,1847,854,1807,148,416,154,479,***,652,225,335,192,386,541,318,541,65,498,,,,,,,,,,,,,,,,,,,,,
,,08일,3909,1629,726,1516,124,367,131,394,***,595,221,310,156,315,492,268,492,68,391,,,,,,,,,,,,,,,,,,,,,
,,09일,2811,1139,529,9988,98,247,75,234,***,530,148,246,131,205,344,220,344,45,285,,,,,,,,,,,,,,,,,,,,,
,,10일,2705,1088,442,1103,96,213,68,218,***,507,984,227,105,159,287,212,287,53,263,,,,,,,,,,,,,,,,,,,,,
,,11일,2851,1174,461,1168,99,236,85,278,***,518,149,236,104,167,329,213,329,54,272,,,,,,,,,,,,,,,,,,,,,
,,12일,3075,1320,534,1204,127,285,67,317,***,531,175,273,124,202,381,223,381,64,324,,,,,,,,,,,,,,,,,,,,,
,,13일,5141,2278,959,1723,352,438,143,546,***,768,270,371,184,460,548,282,548,77,518,,,,,,,,,,,,,,,,,,,,,
,,14일,4486,1822,828,1594,305,349,104,402,***,709,217,338,168,387,454,272,454,63,504,,,,,,,,,,,,,,,,,,,,,
,,15일,5355,2281,942,1848,306,463,97,505,***,860,245,371,180,447,564,306,564,73,562,,,,,,,,,,,,,,,,,,,,,
,,16일,5146,2275,923,1658,339,386,108,487,***,963,259,345,236,411,549,259,549,58,526,,,,,,,,,,,,,,,,,,,,,
,,17일,3255,9987,584,1175,107,276,66,343,***,620,162,291,135,248,353,224,353,44,345,,,,,,,,,,,,,,,,,,,,,
,,18일,3052,1262,556,9880,114,248,68,366,***,517,182,288,126,221,360,228,360,54,275,,,,,,,,,,,,,,,,,,,,,
,,19일,5014,2100,880,1810,321,434,107,535,***,702,228,363,180,396,521,268,521,64,526,,,,,,,,,,,,,,,,,,,,,
,,20일,5235,2203,912,1849,376,473,110,509,***,753,252,352,225,418,566,279,566,70,990,,,,,,,,,,,,,,,,,,,,,
,,21일,5496,2339,967,2030,349,470,116,520,***,886,259,363,194,505,592,342,592,82,531,,,,,,,,,,,,,,,,,,,,,
,,22일,5414,9973,988,1931,382,468,133,487,***,860,256,374,205,489,607,360,607,72,524,,,,,,,,,,,,,,,,,,,,,
,,23일,5072,2108,934,1696,297,412,120,507,***,738,224,346,201,464,544,327,544,84,458,,,,,,,,,,,,,,,,,,,,,
,,24일,3130,1375,615,1168,133,265,71,345,***,733,188,282,142,252,372,215,372,40,289,,,,,,,,,,,,,,,,,,,,,
,,25일,3011,1307,551,1131,117,300,63,365,***,576,154,275,131,218,372,999,372,33,270,,,,,,,,,,,,,,,,,,,,,
,,26일,5178,2233,897,1780,332,492,125,543,***,754,234,346,181,456,566,300,566,74,508,,,,,,,,,,,,,,,,,,,,,
,,27일,5072,2243,898,1755,324,433,103,531,***,772,233,345,194,445,534,325,534,55,502,,,,,,,,,,,,,,,,,,,,,
,,28일,4716,1988,861,1624,293,433,109,491,***,670,229,335,172,403,502,297,502,58,475,,,,,,,,,,,,,,,,,,,,,
