,월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상),,,,,,,,,,,,,,,,,,,,,
,1월,01일,7443,95181,4247,4707,3814,3922,3705,3925,***,4272,3762,3973,3722,3859,4043,3825,4043,3668,3902,,,평균,최댓값,최솟값,,,,,,,,,,,,,,,,
,,02일,8848,96586,5652,6112,5219,5327,5110,5330,***,5676,5166,5378,5127,5264,5448,5230,5448,5073,5307,,2023년,3895.210145,100000,0,,,,,,,,,,,,,,,,
,,03일,10000,97990,7057,7517,6623,6731,6514,6734,***,7081,6571,6783,6532,6669,6853,6635,6853,6478,6712,,,,,,,,,,,,,,,,,,,,,
,,04일,1656,99395,8462,8922,8028,8136,7919,8139,***,8486,7976,8188,7937,8074,8258,8040,8257,7882,8116,,,,,,,,,,,,,,,,,,,,,
,,05일,3061,100000,9866,10000,9433,9541,9324,9544,***,9891,9381,9592,9341,9478,9662,9444,9662,9287,9521,,,변압기 관리 코드,,,,,,,,,,,,,,,,,,
,,06일,4465,2203,10000,1730,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상)
,,07일,5870,3608,2675,3134,2241,2349,2132,2352,***,2699,2189,2400,2149,2286,2470,2252,2470,2095,2329,,합계,2290175,5916194,880184,1192103,719764,765863,645680,768441,0,859220,703534,754377,693344,765998,788137,722725,788137,627500,781467
,,08일,7275,5013,4079,4539,3645,3753,3536,3756,***,4103,3593,3805,3554,3691,3875,3657,3875,3500,3734,,평균,6256.75,16105.58333,2405.083333,3254.916667,1965.583333,2091.75,1763.916667,2099.166667,0,2348,1920.916667,2061.083333,1892.833333,2093.916667,2153.25,1973.5,2153.25,1714.25,2134.166667
,,09일,8678,6416,5482,5942,5049,5157,4940,5160,***,5507,4997,5208,4957,5094,5278,5060,5278,4903,5137,,최댓값,10000,100000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,,10일,10000,7819,6885,7345,6452,6559,6342,6562,***,6909,6399,6611,6360,6497,6681,6463,6681,6306,6540,,최솟값,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11일,1483,9222,8289,8749,7855,7963,7746,7966,***,8313,7803,8015,7764,7901,8085,7867,8085,7710,7943,,,,,,,,,,,,,,,,,,,,,
,,12일,2888,10627,9693,10000,9260,9368,9150,9370,***,9717,9207,9419,9168,9305,9489,9271,9489,9114,9348,,,,,,,,,,,,,,,,,,,,,
,,13일,4293,12032,10000,1558,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,
,,14일,5699,13438,2503,2963,2070,2178,1961,2181,***,2528,2018,2229,1978,2115,2299,2081,2299,1924,2158,,,,,,,,,,,,,,,,,,,,,
,,15일,7105,14844,3909,4369,3476,3584,3367,3587,***,3933,3423,3635,3384,3521,3705,3487,3705,3330,3564,,,,,,,,,,,,,,,,,,,,,
,,16일,8510,16249,5314,5774,4881,4989,4772,4992,***,5338,4828,5040,4789,4926,5110,4892,5110,4735,4969,,,,,,,,,,,,,,,,,,,,,
,,17일,9915,17654,6719,7179,6286,6394,6177,6397,***,6743,6233,6445,6194,6331,6515,6297,6515,6140,6374,,,,,,,,,,,,,,,,,,,,,
,,18일,10000,19058,8123,8583,7690,7798,7581,7801,***,8148,7637,7849,7598,7735,7919,7701,7919,7544,7778,,,,,,,,,,,,,,,,,,,,,
,,19일,2722,20462,9527,9987,9094,9202,8985,9205,***,9551,9041,9253,9002,9139,9323,9105,9323,8948,9182,,,,,,,,,,,,,,,,,,,,,
,,20일,4127,21867,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,
,,21일,5531,23271,2336,2795,1902,2010,1793,2013,***,2360,1850,2062,1811,1948,2131,1913,2131,1756,1990,,,,,,,,,,,,,,,,,,,,,
,,22일,6935,24675,3739,4199,3306,3414,3197,3417,***,3764,3254,3465,3214,3351,3535,3317,3535,3160,3394,,,,,,,,,,,,,,,,,,,,,
,,23일,8339,26079,5143,5603,4709,4817,4600,4820,***,5167,4657,4869,4618,4755,4939,4721,4939,4564,4798,,,,,,,,,,,,,,,,,,,,,
,,24일,9742,27482,6547,7006,6113,6221,6004,6224,***,6571,6061,6273,6022,6159,6342,6124,6342,5967,6201,,,,,,,,,,,,,,,,,,,,,
,,25일,10000,28885,7949,8409,7516,7624,7406,7626,***,7973,7463,7675,7424,7561,7745,7527,7745,7370,7604,,,,,,,,,,,,,,,,,,,,,
,,26일,2550,30291,9355,9815,8922,9030,8813,9033,***,9380,8870,9081,8830,8967,9151,8933,9151,8776,9010,,,,,,,,,,,,,,,,,,,,,
,,27일,3955,31696,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,
,,28일,4774,32515,1579,2039,1145,1253,1036,1256,***,1603,1093,1305,1054,1191,1375,1157,1375,1000,1234,,,,,,,,,,,,,,,,,,,,,
,,29일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,30일,3791,1520,595,1055,161,270,53,273,***,620,110,321,69,206,391,172,391,16,250,,,,,,,,,,,,,,,,,,,,,
,,31일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,평균값,4937,28299,4880,4888,4871,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,최대값,10000,100000,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,,,,
,,최소값,0,0,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,2월,01일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,02일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,03일,3791,1520,595,1055,161,270,53,273,***,620,110,321,69,206,391,172,391,16,250,,,,,,,,,,,,,,,,,,,,,
,,04일,3791,1520,595,1055,161,270,53,273,***,620,110,321,69,206,391,172,391,16,250,,,,,,,,,,,,,,,,,,,,,
,,05일,3791,1520,595,1055,161,270,53,273,***,620,110,321,69,206,391,172,391,16,250,,,,,,,,,,,,,,,,,,,,,
,,06일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,07일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,,,,,,,,,,,,,,,,,,
,,08일,3791,1520,595,1055,161,270,53,273,***,620,110,321,69,206,391,172,391,16,250,,,,,,,,,,,,,,,,,,,,,
