월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상)
,10일,4652,2213,822,1472,263,383,127,613,***,806,201,320,235,353,453,999,453,52,431
,11일,2472,1198,481,843,88,205,67,289,***,720,118,242,146,165,246,1000,246,38,232
,12일,2401,1210,454,788,85,159,64,267,***,724,120,242,130,148,232,1000,232,24,202
,13일,2510,1264,486,866,85,203,69,278,***,751,133,252,138,171,236,1000,236,24,254
,14일,2554,1220,480,891,86,196,63,321,***,689,149,247,136,153,251,1000,251,29,268
,15일,4955,2261,909,1633,285,427,137,633,***,767,210,336,235,410,476,1000,476,51,536
,16일,5499,2591,957,1749,302,484,149,698,***,917,243,353,259,435,516,246,516,60,566
,17일,5520,2477,1000,1854,299,492,139,629,***,901,225,364,291,471,494,245,494,75,619
,18일,5453,2527,998,1812,326,509,160,671,***,857,256,377,302,413,482,237,482,65,566
,19일,5127,2382,971,1605,294,406,137,589,***,848,243,329,253,431,436,199,436,44,508
,20일,3047,1355,537,1035,106,210,82,374,***,731,149,269,143,185,271,148,271,45,257
,21일,2518,1238,482,891,113,173,63,262,***,717,144,254,138,155,256,999,256,40,257
,22일,4440,1958,814,1542,265,374,128,543,***,774,183,317,198,341,401,1000,401,62,483
,23일,4963,2316,882,1657,305,455,128,607,***,832,201,321,222,417,417,248,417,55,509
,24일,4609,2038,843,1600,289,403,114,522,***,754,203,332,199,359,404,197,404,59,521
,25일,4592,2007,771,1577,264,382,127,549,***,738,210,321,184,368,412,213,412,57,498
,26일,4207,1816,771,1437,250,326,111,432,***,689,187,294,202,329,373,185,373,54,419
,27일,2535,1159,470,920,101,996,63,318,***,657,125,241,129,151,250,147,250,42,261
,28일,2506,1158,444,930,110,192,58,308,***,613,132,216,142,149,271,160,271,19,265
,평균값,3012,1306,511,1011,123,9994,9981,26,***,9855,9983,9936,9996,9941,9970,9999,9970,9977,9995
,최대값,5520,2591,1000,1863,326,996,165,698,***,917,256,377,302,488,516,1000,516,79,619
,최소값,1775,705,100,617,49,72,10,109,***,323,10,120,35,60,164,100,164,5,141
3월,01일,2850,1266,527,1068,106,232,89,332,***,568,127,234,130,217,307,173,307,35,288
,02일,4777,2108,875,1581,294,426,120,571,***,746,214,336,246,374,450,220,450,59,553
,03일,4464,2113,812,1506,270,368,122,591,***,787,214,324,224,359,411,215,411,54,491
,04일,4208,1888,814,1436,253,370,113,489,***,706,192,321,203,356,391,188,391,58,511
,05일,3769,1689,724,1330,237,312,101,415,***,633,177,311,172,313,356,182,356,65,384
,06일,2587,1183,406,914,93,250,64,346,***,565,152,227,127,147,265,144,265,37,236
,07일,2360,1121,429,920,107,201,62,333,***,533,145,221,118,141,252,1000,252,40,246
,08일,4120,1803,753,1402,264,361,100,504,***,650,198,329,210,297,405,226,405,57,439
,09일,4184,1908,742,1447,255,339,110,552,***,691,199,327,194,301,364,181,364,56,464
,10일,3917,1704,713,1320,251,365,90,416,***,623,999,309,182,303,345,187,345,58,436
,11일,3826,1702,667,1355,224,326,96,501,***,614,180,315,170,258,332,178,332,51,419
,12일,3628,1560,661,1295,218,310,101,380,***,601,180,310,163,255,338,999,338,56,399
,13일,2370,1076,415,881,86,179,60,321,***,508,147,215,138,120,229,1000,229,37,221
,14일,2407,1128,441,887,87,189,74,329,***,536,126,223,142,126,239,1000,239,43,242
,15일,3999,1724,742,1387,244,323,95,435,***,649,191,322,205,291,361,999,361,49,411
,16일,3923,1795,739,1255,241,332,112,478,***,653,172,307,215,276,341,168,341,46,445
,17일,3786,1703,691,1255,245,324,101,459,***,650,169,323,189,259,336,984,336,53,421
,18일,3587,1646,669,1242,237,333,102,400,***,592,175,307,178,247,326,178,326,48,414
,19일,3256,1421,590,1109,220,249,86,345,***,606,159,293,163,218,309,1000,309,55,339
,20일,2377,1069,420,845,97,182,71,295,***,523,114,207,142,122,241,1000,241,17,230
,21일,2321,1073,473,866,106,196,60,257,***,530,114,224,152,136,238,147,238,16,231
,22일,3977,1782,746,1342,260,372,103,463,***,665,191,324,202,296,354,986,354,54,433
,23일,3907,1811,705,1252,250,332,103,513,***,625,156,304,203,269,340,201,340,60,432
,24일,3603,1528,682,1208,238,307,81,357,***,588,150,305,195,255,316,1000,316,58,406
,25일,3423,1426,629,1171,238,286,79,348,***,502,137,304,164,234,308,177,308,51,384
,26일,3507,1471,664,1171,230,277,91,374,***,530,159,299,183,239,307,999,307,44,372
,27일,2417,1024,430,820,90,207,52,235,***,451,111,210,140,116,225,1000,225,43,236
,28일,2282,975,471,865,107,209,63,221,***,447,112,257,152,119,227,1000,227,35,233
,29일,3092,1238,512,1124,236,233,59,238,***,483,131,251,142,187,318,1000,318,42,301
,30일,3138,1234,488,1244,234,251,60,264,***,467,129,256,109,180,310,1000,310,49,315
,31일,3027,1207,506,1094,224,243,56,205,***,458,119,256,120,173,293,177,293,35,290
,평균값,2480,1028,403,875,109,51,9999,9897,***,9846,9987,40,9978,24,22,16,22,16,25
,최대값,4777,2113,875,1581,294,426,122,591,***,787,999,336,246,374,450,1000,450,65,553
,최소값,1591,615,216,604,51,69,12,86,***,277,37,121,31,45,150,100,150,4,130
4월,01일,3029,1238,496,1178,216,236,59,244,***,467,117,255,115,210,301,164,301,23,279
,02일,2924,1109,484,1112,195,217,76,196,***,469,112,246,103,186,285,1000,285,25,257
,03일,2076,831,336,776,88,172,39,160,***,383,81,205,78,89,212,1000,212,21,192
,04일,1927,779,344,752,89,164,38,137,***,362,83,209,83,92,212,1000,212,16,184
,05일,3018,1228,506,1111,245,228,58,217,***,499,138,266,119,191,295,1000,295,25,295
,06일,2948,1199,502,1066,200,239,63,223,***,463,126,248,109,194,292,1000,292,24,285
,07일,2936,1163,483,1030,201,219,63,195,***,468,114,250,98,216,291,1000,291,24,302
,08일,3048,1143,510,1133,184,216,62,224,***,455,118,255,112,196,304,1000,304,22,298
,09일,2883,1126,501,1009,178,209,75,201,***,466,109,248,106,203,287,1000,287,23,279
,10일,2032,776,326,788,78,139,41,160,***,379,86,188,82,92,219,1000,219,17,182
,11일,2017,775,348,830,80,146,38,139,***,396,76,216,78,93,214,1000,214,17,187
,12일,3145,1209,492,1068,195,244,63,208,***,471,130,270,119,167,309,1000,309,22,288
,13일,3116,1190,511,1105,208,233,61,208,***,464,122,255,118,176,310,1000,310,25,290
,14일,3287,1202,502,1248,203,235,61,209,***,466,123,253,114,172,304,998,304,28,287
,15일,3033,1192,483,1141,210,241,59,209,***,458,117,250,110,170,302,997,302,25,288
,16일,3118,1192,499,1160,209,235,64,219,***,466,131,252,116,176,310,1000,310,22,277
,17일,2126,828,356,805,80,168,39,182,***,375,80,214,90,102,215,1000,215,25,195
,18일,1986,811,345,802,85,164,41,144,***,381,81,201,85,97,222,1000,222,21,193
,19일,3028,1209,496,1180,224,233,61,221,***,468,123,240,121,169,313,1000,313,23,290
,20일,2087,840,320,768,132,152,38,137,***,366,80,185,81,89,214,1000,214,17,177
,21일,5432,2341,950,1800,291,510,93,592,***,649,207,306,266,388,521,197,521,46,518
,22일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,23일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,24일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,25일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,26일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,27일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,28일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,29일,3540,1795,1131,1693,871,898,742,867,***,1136,797,903,786,856,972,851,972,711,957
,30일,4032,2287,1624,2186,1363,1390,1234,1360,***,1629,1290,1396,1279,1349,1464,1343,1464,1203,1449
,평균값,2229,890,386,851,154,1147,1177,1154,***,1171,1171,1139,1159,1176,1171,1167,1171,1167,1159
,최대값,5432,2341,1624,2186,1363,1390,1234,1360,***,1629,1290,1396,1279,1349,1464,1343,1464,1203,1449
,최소값,1509,446,213,58,51,74,12,72,***,276,42,122,28,46,153,100,58,4,127
5월,01일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,02일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,03일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,04일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,05일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,06일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,07일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,08일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,09일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,10일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,11일,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
,12일,2940,1122,499,1101,157,229,55,183,***,466,102,272,103,173,301,180,301,21,269
,13일,3094,1167,531,1128,174,243,58,184,***,520,105,295,108,167,320,999,320,18,273
,14일,3575,1385,718,1213,189,316,80,236,***,613,110,420,145,195,350,1000,350,30,304
,15일,2229,870,388,826,77,183,49,164,***,419,81,223,87,118,219,148,219,17,175
,16일,2016,859,342,793,76,190,49,149,***,426,72,213,77,94,228,145,228,18,173
,17일,3064,1120,636,1056,177,226,67,183,***,475,103,371,131,179,306,1000,306,22,263
,18일,2979,1160,578,1091,172,226,76,200,***,515,104,332,126,173,312,999,312,21,265
,19일,2112,845,409,861,93,180,50,141,***,442,77,237,117,108,237,1000,237,17,195
,20일,2996,1144,509,1076,179,226,83,179,***,503,100,271,107,170,322,197,322,21,244
,21일,2897,1113,508,1028,182,220,56,173,***,499,97,270,111,169,307,1000,307,18,244
,22일,2156,859,382,825,85,164,43,137,***,447,78,232,103,96,231,1000,231,15,196
,23일,1990,817,349,809,84,170,39,143,***,417,71,224,81,90,241,1000,241,16,172
,24일,3269,1242,626,1179,207,248,80,188,***,566,103,383,116,179,347,1000,347,21,267
,25일,3065,1223,507,1092,208,227,73,195,***,519,122,276,110,169,325,1000,325,20,237
,26일,2947,1184,487,1065,171,227,74,188,***,545,104,260,112,167,326,1000,326,20,241
,27일,2975,1162,501,1060,186,230,73,183,***,502,105,264,106,170,315,1000,315,20,267
,28일,2981,1181,492,1075,160,226,64,182,***,556,115,270,104,166,314,160,314,17,264
,29일,2108,825,351,823,81,167,41,136,***,435,78,218,87,105,221,1000,221,16,191
,30일,2071,865,388,840,87,185,40,160,***,421,73,235,89,120,241,1000,241,28,198
,31일,3358,1284,647,1107,183,252,81,207,***,583,105,367,138,188,335,1000,335,39,266
,평균값,2136,806,343,800,85,8862,8848,8847,***,8954,8815,8971,8859,8839,8871,9657,8871,8836,8816
,최대값,3575,1385,718,1213,208,316,83,236,***,613,122,420,145,195,350,1000,350,39,304
,최소값,1559,582,219,620,50,73,11,70,***,284,40,126,26,45,164,100,164,4,123
6월,01일,3456,1304,675,1151,182,255,80,237,***,559,108,382,145,188,336,1000,336,41,281
,02일,3792,1521,720,1253,195,337,94,271,***,647,114,416,163,202,376,190,376,43,327
,03일,3502,1292,652,1199,210,279,85,235,***,550,109,375,144,194,378,186,378,39,286
,04일,3419,1291,668,1134,182,268,80,248,***,539,106,371,127,210,337,172,337,37,282
,05일,2475,960,441,916,87,214,48,172,***,458,85,232,92,154,270,1000,270,54,211
,06일,2456,982,530,934,85,223,49,194,***,465,77,333,97,138,269,148,269,54,216
,07일,3617,1410,679,1230,178,323,86,261,***,589,101,390,147,197,384,192,384,40,302
,08일,4025,1588,740,1342,210,373,108,332,***,643,122,415,165,225,409,205,409,46,345
,09일,4264,1678,769,1473,220,391,99,313,***,695,115,432,177,230,446,211,446,44,383
,10일,4263,1671,786,1448,212,401,86,319,***,679,110,440,170,235,469,205,469,41,377
,11일,3779,1447,690,1291,168,334,91,249,***,622,104,385,150,206,400,208,400,53,313
,12일,2908,1089,533,1001,82,270,50,232,***,502,77,345,98,144,284,172,284,57,221
,13일,2420,1010,435,979,86,230,47,160,***,501,72,251,91,132,287,168,287,44,228
,14일,4174,1632,735,1462,186,393,99,287,***,695,116,407,173,221,461,218,461,33,405
,15일,3876,1493,699,1329,222,346,90,274,***,620,108,392,140,212,427,201,427,33,340
,16일,4304,1664,764,1554,232,397,98,292,***,695,115,421,172,222,441,239,441,48,373
,17일,3940,1498,704,1429,226,328,84,298,***,629,116,392,156,219,413,199,413,36,330
,18일,3616,1340,673,1307,201,270,76,227,***,653,105,381,140,230,379,182,379,34,304
,19일,2719,1017,495,1002,82,199,53,183,***,529,79,320,106,116,259,155,259,31,204
,20일,2512,1030,494,1027,85,191,60,218,***,499,78,316,90,127,278,158,278,38,196
,21일,4176,1597,764,1511,185,353,98,328,***,647,108,400,163,245,450,225,450,48,357
,22일,4215,1598,772,1508,229,329,109,339,***,658,101,421,166,247,445,208,445,42,398
,23일,4111,1617,741,1427,238,330,88,329,***,663,110,404,160,226,426,213,426,31,366
,24일,4243,1675,758,1558,251,370,105,313,***,691,112,405,172,225,432,227,432,39,411
,25일,4184,1618,724,1508,206,351,97,318,***,716,111,399,155,216,417,222,417,38,369
,26일,2624,992,519,1049,91,188,52,176,***,508,80,332,89,122,289,157,289,45,224
,27일,2788,1015,533,1116,89,220,44,193,***,519,83,363,90,117,312,174,312,45,236
,28일,4396,1726,795,1557,212,363,94,334,***,739,144,432,161,251,470,245,470,49,422
,29일,4543,1782,798,1597,243,402,104,340,***,709,132,432,166,266,484,250,484,42,409
,30일,4373,1679,775,1576,237,340,89,322,***,717,116,415,161,251,486,253,486,46,421
,평균값,2568,950,426,966,94,88,8,115,***,133,12,48,23,63,151,9253,151,7,156
,최대값,4543,1782,798,1597,251,402,109,340,***,739,144,440,177,266,486,1000,486,57,422
,최소값,1634,608,224,677,47,75,12,70,***,303,41,127,10,45,175,100,175,4,132
7월,01일,4640,1753,809,1697,242,396,103,345,***,730,119,419,169,261,492,247,492,42,423
,02일,4592,1824,791,1640,227,447,109,377,***,734,117,425,181,246,470,238,470,34,465
,03일,2804,1048,511,1010,102,246,49,192,***,503,98,328,88,144,284,166,284,45,230
,04일,2326,970,396,948,78,236,47,166,***,484,80,226,93,133,284,160,284,33,207
,05일,4430,1729,763,1612,244,380,99,373,***,675,113,428,162,239,450,232,450,36,391
,06일,4587,1792,792,1691,217,408,104,397,***,697,126,419,167,256,474,245,474,43,407
,07일,4571,1796,794,1663,266,407,93,409,***,662,117,422,168,260,480,253,480,46,418
,08일,4631,1831,790,1665,226,403,96,382,***,746,126,431,165,244,474,244,474,55,413
,09일,4492,1756,845,1552,235,412,110,376,***,714,121,441,172,276,468,256,468,45,407
,10일,2992,1131,556,1155,105,286,53,223,***,517,99,373,100,138,311,178,311,45,248
,11일,2814,1178,541,1061,87,283,63,221,***,592,78,331,116,156,320,188,320,39,258
,12일,4991,1902,850,1869,248,437,108,417,***,710,127,449,185,282,538,320,538,44,474
