월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상)
,18일,7306,46023,5538,5812,5126,5259,5110,5250,***,5490,5118,5347,5163,5163,5298,5191,5297,5082,5225
,19일,8692,47409,6924,7198,6512,6645,6496,6636,***,6876,6504,6733,6549,6549,6684,6576,6683,6468,6611
,20일,10000,48795,8310,8584,7898,8031,7882,8022,***,8262,7890,8119,7935,7935,8070,7963,8070,7855,7998
,21일,1464,50182,9696,9970,9285,9418,9269,9409,***,9649,9277,9505,9321,9321,9456,9349,9456,9241,9384
,22일,2851,51569,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,23일,4237,52955,2468,2742,2057,2190,2041,2181,***,2420,2048,2277,2093,2093,2228,2121,2228,2013,2156
,24일,5623,54341,3855,4128,3443,3576,3427,3567,***,3807,3435,3663,3479,3479,3614,3507,3614,3399,3542
,25일,7010,55728,5242,5516,4830,4963,4814,4954,***,5194,4822,5051,4867,4867,5002,4894,5001,4786,4929
,26일,8397,57115,6628,6902,6217,6350,6201,6341,***,6581,6209,6437,6253,6253,6388,6281,6388,6173,6316
,27일,9784,58502,8015,8289,7604,7737,7588,7728,***,7968,7596,7824,7640,7640,7775,7668,7775,7560,7703
,28일,10000,59888,9402,9676,8990,9123,8974,9114,***,9354,8982,9211,9027,9027,9162,9055,9162,8947,9090
,29일,2556,61275,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,30일,3942,62661,2173,2447,1762,1895,1746,1886,***,2125,1753,1982,1798,1798,1933,1826,1933,1718,1861
,평균값,4929,41865,4862,4872,4846,1895,1746,1886,***,2125,1753,1982,1798,1798,1933,1826,1933,1718,1861
,최대값,10000,62661,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,최소값,0,21068,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
10월,01일,5328,64047,3559,3833,3148,3281,3132,3272,***,3512,3139,3368,3184,3184,3319,3212,3319,3104,3247
,02일,6713,65432,4944,5218,4533,4666,4517,4657,***,4897,4525,4753,4569,4569,4704,4597,4704,4489,4632
,03일,8099,66818,6331,6604,5919,6052,5903,6043,***,6283,5911,6140,5955,5955,6090,5983,6090,5875,6018
,04일,9485,68204,7717,7991,7305,7438,7289,7429,***,7669,7297,7526,7342,7342,7477,7370,7477,7262,7405
,05일,10000,69569,9082,9355,8670,8803,8654,8794,***,9034,8662,8891,8707,8706,8841,8734,8841,8626,8769
,06일,2222,70942,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,9999,10000
,07일,3596,72315,1827,2101,1415,1548,1399,1539,***,1779,1407,1636,1452,1452,1587,1480,1587,10000,1515
,08일,4972,73692,3203,3477,2792,2925,2776,2916,***,3156,2784,3012,2828,2828,2963,2856,2963,2748,2891
,09일,6348,75068,4579,4853,4168,4300,4151,4291,***,4531,4159,4388,4204,4204,4339,4232,4339,4124,4267
,10일,7723,76443,5954,6228,5543,5676,5527,5667,***,5907,5535,5763,5579,5579,5714,5607,5714,5499,5642
,11일,9098,77818,7330,7603,6918,7051,6902,7042,***,7282,6910,7139,6955,6955,7089,6982,7089,6874,7017
,12일,10000,79195,8706,8980,8295,8428,8279,8419,***,8659,8287,8515,8331,8331,8466,8359,8466,8251,8394
,13일,1850,80571,10000,10000,9671,9804,9655,9795,***,10000,9663,9891,9707,9707,9842,9735,9842,9627,9770
,14일,3230,81951,1462,1735,10000,10000,10000,10000,***,1414,10000,10000,10000,10000,10000,10000,10000,10000,10000
,15일,4607,83328,2839,3113,2427,2560,2411,2551,***,2791,2419,2648,2464,2464,2599,2492,2599,2384,2527
,16일,5299,84020,3531,3804,3119,3252,3103,3243,***,3483,3111,3339,3155,3155,3290,3183,3290,3075,3218
,17일,4054,2778,2264,2633,2017,2125,1968,2069,***,2347,2008,2122,2021,2017,2172,2050,2172,1961,2093
,18일,5445,4169,3656,4025,3408,3516,3359,3460,***,3738,3399,3514,3413,3409,3564,3442,3564,3353,3485
,19일,6836,5560,5047,5416,4799,4907,4750,4851,***,5129,4790,4905,4804,4800,4955,4833,4955,4744,4876
,20일,8227,6951,6437,6806,6190,6298,6141,6241,***,6519,6180,6295,6194,6190,6345,6223,6345,6134,6266
,21일,9617,8341,7828,8197,7580,7688,7531,7632,***,7910,7571,7686,7585,7581,7735,7613,7735,7524,7656
,22일,10000,9732,9218,9587,8971,9079,8922,9022,***,9300,8961,9076,8975,8971,9126,9004,9126,8915,9047
,23일,2397,11122,10000,10000,10000,9999,9999,9999,***,9999,9999,9999,10000,9999,10000,9999,10000,10000,9999
,24일,3787,12512,1998,2367,1750,1859,1702,1803,***,2081,1742,1857,1755,1752,1906,1785,1905,1694,1827
,25일,5178,13903,3389,3758,3141,3250,3093,3194,***,3472,3133,3248,3146,3143,3297,3176,3296,3085,3218
,26일,6566,15291,4776,5145,4529,4638,4481,4582,***,4860,4521,4635,4533,4530,4684,4563,4684,4473,4606
,27일,7956,16681,6166,6535,5919,6028,5871,5972,***,6249,5910,6025,5923,5920,6074,5953,6074,5863,5996
,28일,9347,18072,7557,7926,7310,7419,7262,7363,***,7641,7302,7416,7314,7311,7465,7344,7465,7254,7387
,29일,10000,19462,8948,9317,8700,8809,8652,8753,***,9031,8692,8807,8705,8702,8855,8734,8855,8644,8777
,30일,2127,20853,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,31일,3519,22245,1729,2098,1482,1591,1434,1535,***,1813,1474,1588,1486,1483,1637,1516,1637,1426,1559
,평균값,4910,42532,4792,4813,4770,9696,9688,9649,***,9688,9721,9606,9688,9685,9704,9690,9704,9708,9698
,최대값,10000,84020,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,최소값,0,828,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
11월,01일,4911,23637,3121,3490,2874,2983,2825,2926,***,3204,2865,2980,2878,2875,3029,2908,3029,2818,2951
,02일,6302,25028,4512,4881,4265,4374,4217,4318,***,4596,4257,4371,4269,4266,4420,4299,4420,4209,4342
,03일,7693,26419,5904,6273,5656,5765,5608,5709,***,5987,5648,5763,5661,5658,5812,5691,5811,5600,5733
,04일,9085,27811,7295,7664,7048,7157,7000,7101,***,7378,7039,7154,7052,7049,7203,7082,7203,6992,7125
,05일,10000,29202,8686,9055,8439,8548,8391,8492,***,8770,8430,8545,8443,8440,8594,8473,8594,8383,8516
,06일,1866,30593,10000,10000,9830,9939,9781,9882,***,10000,9821,9936,9834,9831,9985,9864,9985,9774,9907
,07일,3257,31984,1467,1836,10000,10000,10000,10000,***,1551,10000,10000,10000,10000,10000,10000,10000,10000,10000
,08일,4648,33375,2858,3227,2611,2720,2563,2664,***,2942,2603,2717,2615,2612,2766,2645,2766,2555,2688
,09일,6039,34766,4250,4619,4002,4111,3954,4055,***,4333,3994,4109,4007,4004,4158,4036,4157,3946,4079
,10일,7431,36158,5641,6010,5394,5503,5346,5447,***,5725,5386,5500,5398,5395,5549,5428,5549,5338,5471
,11일,8822,37549,7033,7401,6785,6894,6737,6838,***,7116,6777,6892,6790,6787,6940,6819,6940,6729,6862
,12일,10000,38941,8424,8793,8177,8286,8129,8230,***,8508,8169,8283,8181,8178,8332,8211,8332,8121,8254
,13일,1605,40332,9816,10000,9568,9677,9520,9621,***,9899,9560,9675,9573,9570,9724,9603,9724,9513,9646
,14일,2996,41724,10000,1575,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,15일,4387,43115,2598,2967,2350,2459,2302,2403,***,2681,2342,2457,2355,2352,2505,2384,2505,2294,2427
,16일,5779,44507,3989,4358,3741,3850,3693,3794,***,4072,3733,3848,3746,3743,3897,3776,3897,3686,3819
,17일,7170,45898,5381,5750,5133,5242,5085,5186,***,5464,5125,5240,5138,5135,5289,5167,5288,5077,5210
,18일,8562,47290,6772,7141,6525,6634,6477,6578,***,6856,6517,6631,6529,6526,6680,6559,6680,6469,6602
,19일,9953,48681,8164,8533,7916,8025,7868,7969,***,8247,7908,8023,7921,7918,8072,7950,8071,7860,7993
,20일,10000,50073,9555,9924,9308,9417,9259,9360,***,9638,9299,9414,9312,9309,9463,9342,9463,9252,9385
,21일,2735,51464,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,22일,4126,52855,2336,2705,2089,2198,2041,2142,***,2420,2081,2195,2093,2090,2244,2123,2244,2033,2166
,23일,5503,54232,3713,4082,3466,3575,3418,3518,***,3796,3457,3572,3470,3467,3621,3500,3621,3410,3543
,24일,6894,55623,5104,5473,4857,4966,4809,4910,***,5188,4849,4963,4861,4858,5012,4891,5012,4801,4934
,25일,8285,57014,6496,6865,6248,6357,6200,6301,***,6579,6240,6355,6253,6250,6404,6283,6404,6192,6325
,26일,9676,58405,7887,8256,7639,7748,7591,7692,***,7970,7631,7746,7644,7641,7795,7674,7795,7584,7717
,27일,10000,59797,9279,9647,9031,9140,8983,9084,***,9362,9023,9138,9036,9033,9186,9065,9186,8975,9108
,28일,2459,61189,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,29일,3850,62580,2061,2430,1813,1922,1765,1866,***,2144,1805,1920,1818,1815,1969,1848,1968,1757,1890
,30일,5242,63972,3452,3821,3205,3314,3157,3258,***,3536,3197,3311,3209,3206,3360,3239,3360,3149,3282
,평균값,4975,43113,4900,4915,4890,1723,1723,1723,***,1723,1723,1723,1723,1723,1723,1723,1723,1723,1723
,최대값,10000,63972,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,최소값,0,22245,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
12월,01일,6634,65364,4844,5213,4597,4706,4549,4650,***,4928,4589,4703,4601,4598,4752,4631,4752,4541,4674
,02일,8026,66756,6237,6605,5989,6098,5941,6042,***,6320,5981,6096,5993,5990,6144,6023,6144,5933,6066
,03일,9418,68148,7628,7997,7380,7489,7332,7433,***,7711,7372,7487,7385,7382,7536,7415,7536,7325,7458
,04일,10000,69539,9020,9389,8772,8881,8724,8825,***,9103,8764,8879,8777,8774,8928,8807,8928,8717,8850
,05일,2201,70932,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,06일,3593,72324,1804,2173,1556,1665,1508,1609,***,1887,1548,1663,1561,1558,1712,1591,1712,1501,1633
,07일,4985,73716,3196,3564,2948,3057,2900,3001,***,3279,2940,3055,2952,2949,3103,2982,3103,2892,3025
,08일,5508,74239,3719,4088,3471,3580,3423,3524,***,3802,3463,3578,3476,3473,3627,3506,3627,3416,3549
,09일,5651,3431,2466,2933,1997,2064,1849,2186,***,2268,1926,2006,1938,2078,2133,1892,2133,1821,2149
,10일,7039,4819,3853,4320,3385,3452,3237,3574,***,3656,3313,3393,3325,3465,3520,3279,3520,3208,3536
,11일,8426,6206,5240,5707,4772,4838,4623,4960,***,5042,4700,4780,4712,4852,4907,4666,4907,4595,4923
,12일,9812,7592,6627,7094,6158,6225,6010,6347,***,6429,6087,6167,6099,6239,6294,6053,6294,5982,6310
,13일,10000,8978,8013,8480,7544,7611,7396,7733,***,7815,7473,7553,7485,7625,7680,7439,7680,7368,7696
,14일,2583,10364,9398,9865,8930,8997,8782,9118,***,9200,8858,8938,8870,9010,9065,8824,9065,8753,9081
,15일,3969,11750,10000,10000,9999,10000,9999,9999,***,10000,10000,10000,10000,10000,10000,9999,10000,9999,10000
,16일,5355,13136,2170,2637,1702,1768,1554,1891,***,1972,1630,1710,1642,1782,1837,1597,1837,1526,1852
,17일,6740,14521,3555,4022,3087,3153,2939,3276,***,3357,3015,3095,3027,3167,3222,2982,3222,2911,3238
,18일,8124,15905,4938,5405,4471,4537,4323,4660,***,4741,4399,4478,4410,4550,4605,4365,4605,4294,4621
,19일,9507,17288,6322,6789,5854,5920,5706,6043,***,6124,5782,5862,5794,5934,5989,5749,5988,5677,6004
,20일,10000,18672,7706,8173,7238,7304,7090,7427,***,7508,7166,7246,7178,7318,7373,7133,7373,7062,7389
,21일,2275,20057,9091,9558,8623,8689,8475,8812,***,8893,8551,8631,8563,8703,8757,8517,8757,8446,8773
,22일,3661,21443,10000,10000,10000,10000,9861,10000,***,10000,9937,10000,9949,10000,10000,9904,10000,9833,10000
,23일,5048,22830,1862,2329,1394,1460,10000,1583,***,1664,10000,1402,10000,1474,1529,10000,1529,10000,1545
,24일,6433,24215,3248,3714,2780,2846,2632,2969,***,3050,2708,2788,2720,2860,2914,2674,2914,2603,2930
,25일,7819,25601,4633,5100,4166,4232,4018,4355,***,4436,4094,4173,4105,4245,4300,4060,4300,3989,4316
,26일,9205,26987,6019,6486,5552,5618,5404,5741,***,5822,5480,5559,5491,5631,5686,5446,5686,5375,5702
,27일,10000,28373,7406,7872,6938,7004,6790,7127,***,7208,6866,6946,6877,7017,7072,6832,7072,6761,7088
,28일,1976,29759,8791,9258,8324,8390,8176,8513,***,8594,8252,8331,8263,8403,8458,8218,8458,8147,8474
,29일,3362,31145,10000,10000,9710,9776,9562,9899,***,9979,9637,9717,9649,9789,9844,9604,9844,9533,9860
,30일,4748,32531,1562,2029,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,31일,6134,33917,2948,3415,2481,2546,2332,2669,***,2750,2408,2488,2420,2560,2615,2375,2615,2304,2631
,평균값,4999,30256,4794,4826,4764,9232,9175,9411,***,9214,9211,9177,9211,9354,9255,9136,9255,9155,9349
,최대값,10000,74239,10000,10000,10000,10000,10000,10000,***,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,최소값,0,1658,0,0,0,0,0,0,***,0,0,0,0,0,0,0,0,0,0
