year,month,day,정석학술정보관,본관,5호남관,김현태 인하드림센터,"9호관,평생교육원",60주년,서호관,하이테크센터,로스쿨관,학생회관,"2호남관, 4호관","2호북관,2북신관",인하드림센터 3관,5호동관
2022,11,14,0.12089444131716834,0.5859586723348402,0.25878135718400336,2.4980952024081637,0.39759929545404843,0.38709322792010553,0.7729588090250671,0.45975045664714104,1.1117818861824411,0.6343261806713201,0.49620625507681027,0.5957994944045492,5.3222630262387565,0.5450229863444491
2022,11,15,0.17702400335728222,0.13770028799868747,0.06363433573154642,0.5750615155943593,0.09554311069760785,0.10377969440538029,0.18102695307367073,0.11296068719820256,0.2618246341959649,0.1491935176938945,0.12429966689674096,0.14924777334833955,1.2209271382191706,0.1322770787857978
2022,11,16,0.2331939173471014,0.21920713932046373,0.0996308225158413,0.9225465582493348,0.150849172695266,0.15762436240906696,0.28854552340905754,0.17691197571781989,0.4164734945639425,0.2374282894252751,0.19337157760343296,0.2321830629694528,1.9617861514716057,0.20814427848494513
2022,11,17,0.2893234793872153,0.3007725865094735,0.13565318743585456,1.2702814104245512,0.2061949946224695,0.21150773973554565,0.3961413896253469,0.24090923928310193,0.5712335331205383,0.32572649377472285,0.26244348831012493,0.3150587726411256,2.7021129384214166,0.283956975885458
2022,11,18,0.3454933933770345,0.38233803369848324,0.17167555235586782,1.6180162625997676,0.2615408165496731,0.26539111706202434,0.5037372558416362,0.3048605278027192,0.7258823934885159,0.41396126550610346,0.33146577839130925,0.3979940622622388,3.4429719516738517,0.35982417558460533
2022,11,19,0.4016229554171484,0.46384488502025956,0.2076720391401627,1.9655013052547432,0.3168468785473312,0.31923578506571104,0.611255826177023,0.3688577913680013,0.8806424320451117,0.5022594698555513,0.40053768909800125,0.48086977193391156,4.183298738623662,0.43563687298511816
2022,11,20,0.40351949705329887,0.5454103322092693,0.24369440406017595,2.312986347909719,0.3721529405449893,0.3730804530693977,0.7187743965124099,0.4328090798876186,1.0352912924130893,0.5904942415869319,0.4695599791791855,0.5638050615550249,4.9241577518760975,0.5115040726842655
2022,11,21,0.11036258244407723,0.5859586723348402,0.25878135718400336,2.4980952024081637,0.39759929545404843,0.38709322792010553,0.7729588090250671,0.45975045664714104,1.1117818861824411,0.6343261806713201,0.49620625507681027,0.5957994944045492,5.3222630262387565,0.5450229863444491
2022,11,22,0.1664921444841911,0.12240676665074812,0.05688014230904394,0.5098612308115062,0.08516576908625717,0.09367656115666553,0.16085272815811646,0.10091522523404746,0.23269594877798494,0.1325741717603059,0.11134868363923622,0.1336974065443808,1.0820160732343391,0.11805197884220768
2022,11,23,0.22205677922843037,0.20309327583125564,0.0925143351932812,0.8538489401831103,0.13987543214073425,0.14694058931847206,0.2672118602799657,0.1642228631143588,0.3857883145053071,0.21992088683874667,0.179676284963313,0.21573899692388723,1.814891691947416,0.19310164406183833
2022,11,24,0.27818634126854425,0.2846001271530319,0.12851082197757607,1.201333982838086,0.19522125406793778,0.20082396664495075,0.37480772649625504,0.2281741516339761,0.5404371748732847,0.3081556585701273,0.2486985750444973,0.29861470659556,2.555218478897227,0.2689143414623512
2022,11,25,0.3343159033086581,0.36610697847480816,0.16450730876187095,1.5488190254930614,0.2505273160655959,0.2546686346486374,0.48232629683164185,0.29217141519925816,0.6951972134298805,0.3964538629195751,0.31777048575118927,0.38154999621667324,3.295545265847038,0.34472703886286404
2022,11,26,0.390445465348772,0.4476138297965845,0.2005037955461658,1.896304068148037,0.30583337806325406,0.3085133026523241,0.5898448671670287,0.35612270371887544,0.849846073797858,0.4846886346509557,0.3867927758323736,0.46442570588834603,4.0364042790994725,0.4205942385620114
2022,11,27,0.40351949705329887,0.5291792769855942,0.23652616046617905,2.2440389203232534,0.3611791999904576,0.36239667997880276,0.697440733383318,0.4201199672841575,1.0046061123544539,0.5729868390004034,0.4558150659135579,0.5473014155600188,4.776731066049284,0.4964069359625243
2022,11,28,0.09922544432540618,0.5859586723348402,0.25878135718400336,2.4980952024081637,0.39759929545404843,0.38709322792010553,0.7729588090250671,0.45975045664714104,1.1117818861824411,0.6343261806713201,0.49620625507681027,0.5957994944045492,5.3222630262387565,0.5450229863444491
2022,11,29,0.15535500636552005,0.10623430729430654,0.04973777685076544,0.44091380322504087,0.07419202853172543,0.08299278806607062,0.1395190650290246,0.08827208767625108,0.2021219469079678,0.11513020179184459,0.09770301162462394,0.11725334049881526,0.9351216137101495,0.10300934441910088
2022,11,30,0.21152492035533926,0.1877997544833163,0.08576014177077872,0.7886486554002573,0.129537850458929,0.13687616539254932,0.24711493124531395,0.1522233761958684,0.3567708072759454,0.20336497352322522,0.16672530170580824,0.2001886301199285,1.6759806269625843,0.1788765441182482
2022,12,1,0.26769483434515845,0.2693652016723261,0.12178250669079198,1.1363835075754736,0.1848836723861325,0.190759542719028,0.3547107974616033,0.21622063976115044,0.5115308458325412,0.291663177872673,0.23579721241250023,0.28312391974104173,2.416839640215019,0.2547437438173955
2022,12,2,0.3238647483349777,0.35093064886133585,0.15780487161080525,1.48411835975069,0.24022949431333607,0.2446429200455067,0.46230666367789264,0.2802638783720972,0.666290884389137,0.3799613822221207,0.30486912311919223,0.36605920936215497,3.1576986534674543,0.33061094351654285
2022,12,3,0.3800346623247969,0.4324375001831121,0.19380135839510013,1.8316034024056655,0.2955355563109942,0.29848758804919334,0.5698252340132794,0.3442151668917145,0.8210509229457328,0.46825958657156846,0.37394103382588423,0.4489944989832682,3.898557666719889,0.40647814321569015
2022,12,4,0.40351949705329887,0.5140029473721218,0.2298237233151134,2.179338254580882,0.35088137823819776,0.35237096537567203,0.6774211002295688,0.40821243045699657,0.9758109615023287,0.5565577909210162,0.44301294453257617,0.5319297886043814,4.639416679972324,0.4823453429148375
2022,12,5,0.08881464130143107,0.5859586723348402,0.25878135718400336,2.4980952024081637,0.39759929545404843,0.38709322792010553,0.7729588090250671,0.45975045664714104,1.1117818861824411,0.6343261806713201,0.49620625507681027,0.5957994944045492,5.3222630262387565,0.5450229863444491
2022,12,6,0.1449845552912503,0.09117516941530114,0.04308709597113656,0.37671275652315106,0.0639737266385564,0.07304449210852391,0.11965402363708039,0.07645650094041956,0.17354915243307908,0.09882801894859167,0.08495051086914991,0.10200087344205881,0.7988716802384374,0.08900225367004855
2022,12,7,0.20115446928106948,0.1727406166043109,0.07910946089114983,0.7244476086983674,0.11931954856575994,0.1269278694350026,0.22724988985336972,0.1404537645057016,0.32819801280105665,0.18706279067997228,0.15397280095033422,0.1848765831137316,1.5391984671882484,0.16486945336919587
2022,12,8,0.22225853897695702,0.20338625516742306,0.0926437258718732,0.8550979877843145,0.14011399171800668,0.14717284525522412,0.2676756355653807,0.16449871338834707,0.3864553836370166,0.22030148254714946,0.17997400871635907,0.21609647662052997,1.818085049763159,0.193428657853645
2022,12,9,0.22802886778481918,0.1170159468652676,0.05341247212277829,0.46189780292526944,0.08691520598625499,0.08779274409227993,0.14887186661822793,0.0922259416034165,0.2154633295421571,0.1318129803435003,0.10584079420788363,0.12708403215649033,0.9691840970780775,0.11712543976542211
2022,12,10,0.2840373739758171,0.19834701058534343,0.08933132449991796,0.8086334170195226,0.14210198819527692,0.14152128412759057,0.2560812534300047,0.15599332994037496,0.36966747715566173,0.2197940216026124,0.17466460178703722,0.20972142203040128,1.7073819788173932,0.1927201279713972
